"","X","cgrade","clean_school_id","LET_performance","pse_performance","gmc_performance","lnc_performance","rao_performance","dgs_performance","nwr_performance","srt_performance","nre_performance","wre_performance","del_performance","ble_performance","evo_performance","reading_outcome_LW","percent_frpm","LET_performance_z","pse_performance_z","gmc_performance_z","reading_outcome_LW_z","rao_performance_z","dgs_performance_z","nwr_performance_z","srt_performance_z","del_performance_z","lnc_performance_z","ble_performance_z","nre_performance_z","wre_performance_z","evo_performance_z","percent_frpm_z"
"1",1,0,1,-0.284211832610269,-0.371170421157272,0.0855423066935042,20,26,4,-0.888,2.0098,NA,NA,-0.9551,-0.9995,NA,79,0.89,-0.678184540579339,-1.29937741001471,-0.00902762063746383,-1.32366750036521,-1.54563573585604,-2.17254835905335,-1.78238864869931,3.24020546783438,-1.12757350243051,-1.78133149410543,-0.283179547585463,NA,NA,NA,1.14546730094307
"2",2,0,3,0.310586223021706,0.299503379600462,1.13520653634655,35.5,34.5,7.5,-0.5867,-0.67805,NA,NA,-0.576,-0.6782,NA,92,0.6,0.650160476017803,0.505535241840935,1.88935386208222,0.351177091933627,0.156900387873075,0.419696842089851,-1.21332420838222,0.021177943975139,-0.554556404576117,1.46697887749859,0.337927915636582,NA,NA,NA,-0.35843517406341
"3",3,0,4,-0.0257012952921795,0.447045815253846,0.0408944106446714,36.5,36,8,0.2755,-0.6209,NA,NA,-0.3049,-0.4606,NA,94,0.47,-0.100860555181505,0.902600414948217,-0.0897760511422488,0.608845490748833,0.457347939119391,0.790017585110308,0.415110442933367,0.0896220249277799,-0.144783428505618,1.67654728856982,0.758572123532993,NA,NA,NA,-1.03259835251459
"4",4,0,5,-0.829830236589961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,-1.89669808652568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4566195371513
"5",5,0,6,-0.503442842262349,-0.352502430036172,-0.505488886904608,26,30,7,-0.5776,-1.13175,NA,NA,-0.576,-1.3621,NA,82,0.66,-1.16778671126143,-1.24913824259661,-1.07794341479312,-0.937164902142404,-0.74444226586587,0.0493760990693941,-1.19613706464878,-0.522183027647138,-0.554556404576117,-0.523921027678068,-0.984124353574612,NA,NA,NA,-0.0472829378551728
"6",6,0,8,-0.40959811880857,-0.0748890216829784,0.735846894602697,36,30,6,0.2781,-0.234,NA,NA,-0.3049,-0.6395,NA,98,0.47,-0.958206048457621,-0.502026975546465,1.16708770552024,1.12418228837925,-0.74444226586587,-0.69126538697152,0.420021055428636,0.552981866057732,-0.144783428505618,1.5717630830342,0.412739178713747,NA,NA,NA,-1.03259835251459
"7",7,0,9,0.00961066622740277,0.207254654974958,-0.814514005386594,29,28,5,-0.35675,-1.1193,NA,NA,-1.1114,-0.18885,NA,81,0.9,-0.0219993893342684,0.25727611794791,-1.63683410197541,-1.06599910155001,-1.14503900086096,-1.43190687301243,-0.779018307117992,-0.507272637308374,-1.36382402312332,0.104784205535614,1.28389410651024,NA,NA,NA,1.19732600697777
"8",8,0,11,-0.32129719779793,0.504495523139559,-1.17502890638339,28,30.5,6,0.377,-0.93155,NA,NA,-0.3049,-0.4623,NA,88.5,0.63,-0.761006196718367,1.05720866785922,-2.28884718669591,-0.0997426059929839,-0.644293082117099,-0.69126538697152,0.606813199960197,-0.282419160512953,-0.144783428505618,-0.104784205535614,0.755285840658802,NA,NA,NA,-0.202859055959291
"9",9,0,13,-0.0225365726182302,0.0254127623413522,-0.65103396242856,30,35,5.5,-0.8369,-1.0766,NA,NA,-0.8199,-1.5248,NA,82,0.74,-0.0937928730446059,-0.232095514402955,-1.34117051968078,-0.937164902142404,0.257049571621847,-1.06158612999198,-1.68587622619614,-0.456134190122411,-0.923216046271414,0.314352616606841,-1.29864095571039,NA,NA,NA,0.367586710422476
"10",10,0,15,0.199090662547001,-0.0819222310028911,-0.36155846664541,26,29,5,-0.2497,-0.90825,NA,NA,-1.159,-0.4606,NA,86,0.96,0.401160717651213,-0.520954699382281,-0.817636511974836,-0.421828104511992,-0.944740633363414,-1.43190687301243,-0.576833281110878,-0.254514574577755,-1.43577235827992,-0.523921027678068,0.758572123532993,NA,NA,NA,1.50847824318601
