"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","pseAbility","langinst","wPercentCxPSE","rawPercentCxPSE","clean_school_id","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","pseAbilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT"
"17",17,17,"Y",999,55,1,NA,1,3,0.267465415263255,"es",0.575,0.65625,3,116,NA,NA,119,1,91,6,"EL",225,0.735149802874831,"EL","NotReported","Hispanic","es","ES"
"18",18,18,"Y",999,55,1,NA,1,1,-0.299524492150996,"es",0.55,0.53125,3,77,NA,NA,89,1,89,6,"EL",155,0.2350277514768,"EL","NotReported","Hispanic","es","ES"
"19",19,19,"Y",999,55,1,NA,NA,NA,0.328485693608654,"es",0.675,0.6875,3,80,NA,NA,91,1,90,6,"EL",151,0.82960400922834,"EL","NotReported","Hispanic","es","ES"
"20",20,20,"Y",999,55,1,NA,NA,NA,-0.167359788569284,"es",0.575,0.5625,3,100,NA,NA,100,1,99,6,"EL",373,0.0328531749774105,"EL","NotReported","Hispanic","es","ES"
"21",21,21,"Y",700,55,1,NA,NA,NA,-1.69054644403119,"en",0.275,0.25,3,79,71,77,NA,1,93,6,"EL",306,-1.28972991243583,"EL","NotReported","Hispanic","en","ES"
"22",22,22,"Y",999,55,1,NA,NA,NA,-1.00311284118227,"es",0.4,0.40625,3,99,NA,NA,114,1,94,6,"EL",230,-0.635730237595025,"EL","NotReported","Hispanic","es","ES"
"23",23,23,"Y",999,55,1,NA,NA,NA,0.789058908905942,"es",0.825,0.8125,3,77,90,83,NA,1,89,6,"EL",313,1.32361115253374,"EL","NotReported","Hispanic","es","ES"
"24",24,24,"Y",999,55,1,NA,1,3,0.328485693608654,"es",0.675,0.6875,3,107,NA,NA,106,1,97,6,"EL",284,0.595566513171569,"EL","NotReported","Hispanic","es","ES"
"25",25,25,"Y",999,55,1,NA,1,1,0.054531657040154,"es",0.675,0.625,3,99,NA,NA,119,1,94,6,"EL",213,0.4219142606274,"EL","NotReported","Hispanic","es","ES"
"26",26,26,"Y",999,55,1,NA,1,3,-0.436473651517824,"en",0.525,0.5,3,93,103,83,NA,1,100,6,"EL",368,-0.26969461597924,"EL","NotReported","Hispanic","en","ES"
"27",27,27,"Y",999,55,1,NA,NA,NA,0.054531657040154,"en",0.675,0.625,3,97,108,100,NA,1,88,6,"EL",371,0.622517828676061,"EL","NotReported","Hispanic","en","ES"
"28",28,28,"Y",999,55,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,3,113,115,108,NA,1,95,6,"EO",NA,0.521919152104672,"EO","NotReported","Hispanic","en","EO"
"29",29,29,"Y",999,55,0,NA,NA,NA,0.653420792083748,"en",0.8,0.78125,3,109,94,93,NA,1,89,6,"EO",NA,1.18797303571154,"EO","NotReported","Hispanic","en","EO"
"30",30,30,"Y",700,55,1,NA,NA,NA,-1.71159536090733,"en",0.275,0.275,3,78,100,94,NA,1,88,6,"EL",151,-1.14360918927142,"EL","NotReported","Hispanic","en","ES"
"31",31,31,"Y",999,55,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,3,115,101,92,NA,1,90,6,"EO",NA,0.808130329804812,"EO","NotReported","Hispanic","en","EO"
"32",32,32,"Y",999,55,0,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,3,95,104,90,NA,1,96,6,"EO",NA,-0.168339320961895,"EO","NotReported","Hispanic","en","EO"
"33",33,33,"Y",999,55,1,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,3,79,94,77,NA,1,96,6,"EL",283,-0.168339320961895,"EL","NotReported","Hispanic","en","ES"
"34",34,34,"Y",999,55,0,NA,NA,NA,-1.4655143363769,"en",0.325,0.3125,3,108,112,102,NA,1,88,6,"EO",NA,-0.897528164740993,"EO","NotReported","Hispanic","en","EO"
"35",35,35,"N",700,55,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,3,105,108,99,NA,1,95,6,"EO",NA,0.540500774460818,"EO","NotReported","Not Hispanic","en","EO"
"36",36,36,"Y",999,55,0,NA,NA,NA,-0.301858799449767,"en",0.525,0.53125,3,114,110,94,NA,1,95,6,"EO",NA,0.0320898761293682,"EO","NotReported","Hispanic","en","EO"
"37",37,37,"Y",999,55,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,3,128,128,101,NA,1,97,6,"EO",NA,0.595566513171569,"EO","NotReported","Hispanic","en","EO"
"38",38,38,"Y",999,55,0,NA,NA,NA,-1.21043296874106,"en",0.375,0.34375,3,87,95,88,NA,1,93,6,"EO",NA,-0.809616437145704,"EO","NotReported","Hispanic","en","EO"
"39",39,39,"Y",999,55,0,NA,NA,NA,-2.06151477378938,"en",0.225,0.25,3,83,100,88,NA,1,95,6,"EO",NA,-1.72756609821024,"EO","NotReported","Hispanic","en","EO"
"40",40,40,"Y",999,55,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,3,86,102,83,NA,1,89,6,"EO",NA,0.863037937236451,"EO","NotReported","Hispanic","en","EO"
"41",41,41,"Y",999,55,1,NA,NA,NA,-0.911449747975776,"en",0.4,0.4375,3,78,92,74,NA,1,96,6,"EL",311,-0.610935000404751,"EL","NotReported","Hispanic","en","ES"
"42",42,42,"Y",999,55,0,NA,NA,NA,-2.21670801877204,"en",0.175,0.1875,3,103,106,98,NA,1,90,6,"EO",NA,-1.71558970315235,"EO","NotReported","Hispanic","en","EO"
"43",43,43,"Y",999,55,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,3,94,109,81,NA,1,96,6,"EO",NA,0.144581524030404,"EO","NotReported","Hispanic","en","EO"
"44",44,44,"Y",999,55,1,NA,NA,NA,0.117252020048695,"en",0.575,0.625,3,98,115,102,NA,1,93,6,"EL",311,0.518068551644051,"EL","NotReported","Hispanic","en","ES"
"45",45,45,"Y",999,55,0,NA,NA,NA,-0.823600885651215,"en",0.425,0.4375,3,117,127,98,NA,1,98,6,"EO",NA,-0.58995399409641,"EO","NotReported","Hispanic","en","EO"
"46",46,46,"Y",999,55,0,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,3,77,92,85,NA,1,98,6,"EO",NA,0.916535965083382,"EO","NotReported","Hispanic","en","EO"
"47",47,47,"Y",999,55,0,NA,NA,NA,-0.0397440157169303,"en",0.6,0.59375,3,127,117,121,NA,1,88,6,"EO",NA,0.528242155918976,"EO","NotReported","Hispanic","en","EO"
"48",48,48,"Y",700,55,0,NA,NA,NA,0.117252020048695,"en",0.575,0.625,3,108,103,95,NA,1,91,6,"EO",NA,0.584936407660271,"EO","NotReported","Hispanic","en","EO"
"49",49,49,"Y",999,55,0,NA,NA,NA,-0.920293131083552,"en",0.425,0.40625,3,76,90,69,NA,1,97,6,"EO",NA,-0.653212311520637,"EO","NotReported","Hispanic","en","EO"
"50",50,50,"Y",700,55,0,NA,NA,NA,-0.763251163858116,"en",0.45,0.4375,3,92,111,85,NA,1,90,6,"EO",NA,-0.26213284823843,"EO","NotReported","Hispanic","en","EO"
"51",51,51,"N",700,55,0,NA,NA,NA,-1.63136546707591,"en",0.3,0.3125,3,NA,NA,NA,NA,1,93,6,"EO",NA,-1.23054893548055,"EO","NotReported","Not Hispanic","en","EO"
"52",52,52,"N",700,0,0,NA,NA,NA,0.756985308390598,"en",0.85,0.8125,4,102,100,80,NA,2,112,17,"EO",NA,0.52255720783186,"EO","Ineligible","Not Hispanic","en","EO"
"53",53,53,"N",700,0,0,NA,NA,NA,-0.78758340040151,"en",0.4,0.46875,4,111,110,104,NA,2,104,17,"EO",NA,-0.754540076895366,"EO","Ineligible","Not Hispanic","en","EO"
"54",54,54,"N",700,0,0,NA,NA,NA,0.653420792083748,"en",0.8,0.78125,4,114,108,104,NA,2,105,17,"EO",NA,0.653030187581781,"EO","Ineligible","Not Hispanic","en","EO"
"55",55,55,"N",800,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,4,129,131,111,NA,2,109,17,"EO",NA,0.0538441599911295,"EO","Ineligible","Not Hispanic","en","EO"
"56",56,56,"N",700,0,0,NA,NA,NA,0.477315454000685,"en",0.675,0.71875,4,120,130,108,NA,2,111,17,"EO",NA,0.276321281450057,"EO","Ineligible","Not Hispanic","en","EO"
"57",57,57,"N",700,0,0,NA,NA,NA,0.0690998170896675,"en",0.65,0.625,4,101,103,80,NA,2,108,17,"EO",NA,-0.0315925714366298,"EO","Ineligible","Not Hispanic","en","EO"
"58",58,58,"N",700,0,0,NA,NA,NA,0.653420792083748,"en",0.8,0.78125,4,124,116,114,NA,2,111,17,"EO",NA,0.45242661953312,"EO","Ineligible","Not Hispanic","en","EO"
"59",59,59,"Y",700,0,0,NA,NA,NA,-0.173291699184974,"en",0.6,0.5625,4,107,103,98,NA,2,103,17,"EO",NA,-0.10681444767072,"EO","Ineligible","Hispanic","en","EO"
"60",60,60,"N",700,0,0,NA,NA,NA,0.625049043443043,"en",0.825,0.78125,4,113,122,105,NA,2,113,17,"EO",NA,0.357187014876195,"EO","Ineligible","Not Hispanic","en","EO"
"61",61,61,"N",700,0,0,NA,NA,NA,-0.299524492150996,"en",0.55,0.53125,4,114,110,98,NA,2,107,17,"EO",NA,-0.366782952669183,"EO","Ineligible","Not Hispanic","en","EO"
"62",62,62,"N",700,0,0,NA,NA,NA,-0.173291699184974,"en",0.6,0.5625,4,120,106,96,NA,2,104,17,"EO",NA,-0.140248375678831,"EO","Ineligible","Not Hispanic","en","EO"
"63",63,63,"N",700,0,0,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,4,113,111,99,NA,2,115,17,"EO",NA,0.117376038884444,"EO","Ineligible","Not Hispanic","en","EO"
"64",64,64,"N",700,0,0,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,4,117,119,116,NA,2,107,17,"EO",NA,-0.536112529051107,"EO","Ineligible","Not Hispanic","en","EO"
"65",65,65,"N",700,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,4,126,125,119,NA,2,114,17,"EO",NA,0.00571605761016764,"EO","Ineligible","Not Hispanic","en","EO"
"66",66,66,"N",700,0,0,NA,NA,NA,-0.0280061563442619,"en",0.575,0.59375,4,123,122,113,NA,2,104,17,"EO",NA,0.00503716716188158,"EO","Ineligible","Not Hispanic","en","EO"
"67",67,67,"N",700,0,0,NA,NA,NA,0.500865098003236,"en",0.8,0.75,4,103,122,96,NA,2,107,17,"EO",NA,0.433606637485049,"EO","Ineligible","Not Hispanic","en","EO"
"68",68,68,"N",700,0,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,4,103,112,105,NA,2,104,17,"EO",NA,-0.122889900034478,"EO","Ineligible","Not Hispanic","en","EO"
"69",69,69,"N",700,0,0,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,4,109,110,100,NA,2,112,17,"EO",NA,-0.39592348639002,"EO","Ineligible","Not Hispanic","en","EO"
"70",70,70,"N",700,0,0,NA,NA,NA,0.552355284071622,"en",0.75,0.75,4,95,91,85,NA,2,112,17,"EO",NA,0.317927183512884,"EO","Ineligible","Not Hispanic","en","EO"
"71",71,71,"N",700,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,4,100,108,73,NA,2,106,17,"EO",NA,0.15414594401546,"EO","Ineligible","Not Hispanic","en","EO"
"72",72,72,"N",700,0,0,NA,NA,NA,-0.994446772977224,"en",0.425,0.375,4,135,126,120,NA,2,107,17,"EO",NA,-1.06170523349541,"EO","Ineligible","Not Hispanic","en","EO"
"73",73,73,"N",700,0,0,NA,NA,NA,-0.436473651517824,"en",0.525,0.5,4,129,117,116,NA,2,110,17,"EO",NA,-0.604033896060342,"EO","Ineligible","Not Hispanic","en","EO"
"74",74,74,"Y",700,0,0,NA,NA,NA,-0.0280061563442619,"en",0.575,0.59375,4,108,102,90,NA,2,114,17,"EO",NA,-0.32930211291922,"EO","Ineligible","Hispanic","en","EO"
"75",75,75,"N",700,0,0,NA,NA,NA,-1.29524641539391,"en",0.35,0.40625,4,111,107,93,NA,2,116,17,"EO",NA,-1.66341022798509,"EO","Ineligible","Not Hispanic","en","EO"
"76",76,76,"N",600,0,0,NA,NA,NA,-0.920293131083552,"en",0.425,0.40625,4,77,91,71,NA,2,112,17,"EO",NA,-1.15472123164229,"EO","Ineligible","Not Hispanic","en","EO"
"77",77,77,"N",800,0,0,NA,NA,NA,-0.306288662678975,"en",0.5,0.53125,4,115,109,110,NA,2,104,17,"EO",NA,-0.273245339172831,"EO","Ineligible","Not Hispanic","en","EO"
"78",78,78,"N",700,0,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,4,121,117,100,NA,2,105,17,"EO",NA,0.206161494379716,"EO","Ineligible","Not Hispanic","en","EO"
"79",79,79,"N",700,0,0,NA,NA,NA,0.100430567862464,"en",0.6,0.625,4,113,111,107,NA,2,111,17,"EO",NA,-0.100563604688164,"EO","Ineligible","Not Hispanic","en","EO"
"80",80,80,"N",700,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,4,125,129,105,NA,2,114,17,"EO",NA,0.00571605761016764,"EO","Ineligible","Not Hispanic","en","EO"
"81",81,81,"N",700,0,0,NA,NA,NA,-0.301858799449767,"en",0.525,0.53125,4,121,118,109,NA,2,108,17,"EO",NA,-0.402551187976064,"EO","Ineligible","Not Hispanic","en","EO"
"82",82,82,"N",800,2,0,NA,NA,NA,-0.298242722799638,"en",0.6,0.53125,4,96,99,86,NA,2,114,17,"EO",NA,-0.599538679374596,"EO","Eligible","Not Hispanic","en","EO"
"83",83,83,"N",700,0,0,NA,NA,NA,-0.604818207694438,"en",0.475,0.46875,4,118,114,94,NA,2,109,17,"EO",NA,-0.738944524228845,"EO","Ineligible","Not Hispanic","en","EO"
"84",84,84,"N",800,0,0,NA,NA,NA,0.607849529938805,"en",0.7,0.75,4,120,138,106,NA,2,105,17,"EO",NA,0.607458925436838,"EO","Ineligible","Not Hispanic","en","EO"
"85",85,85,"N",700,0,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,4,119,125,109,NA,2,108,17,"EO",NA,0.105859710355386,"EO","Ineligible","Not Hispanic","en","EO"
"86",86,86,"N",700,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,4,105,101,86,NA,2,107,17,"EO",NA,0.12071201600735,"EO","Ineligible","Not Hispanic","en","EO"
"87",87,87,"N",700,0,0,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,4,105,111,91,NA,2,103,17,"EO",NA,-0.402376817018666,"EO","Ineligible","Not Hispanic","en","EO"
"88",88,88,"N",700,0,0,NA,NA,NA,-0.167359788569284,"en",0.575,0.5625,4,102,115,100,NA,1,90,17,"EO",NA,0.333758527050402,"EO","Ineligible","Not Hispanic","en","EO"
"89",89,89,"Y",700,0,0,NA,NA,NA,-0.301858799449767,"en",0.525,0.53125,4,101,98,94,NA,1,97,17,"EO",NA,-0.0347779798868521,"EO","Ineligible","Hispanic","en","EO"
"90",90,90,"N",700,0,0,NA,NA,NA,-0.685880024673642,"en",0.5,0.4375,4,112,111,105,NA,1,94,17,"EO",NA,-0.318497421086396,"EO","Ineligible","Not Hispanic","en","EO"
"91",91,91,"N",800,0,0,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,4,108,102,104,NA,1,93,17,"EO",NA,0.852922455062869,"EO","Ineligible","Not Hispanic","en","EO"
"92",92,92,"N",700,0,0,NA,NA,NA,-0.167359788569284,"en",0.575,0.5625,4,NA,NA,NA,NA,1,96,17,"EO",NA,0.133154959001741,"EO","Ineligible","Not Hispanic","en","EO"
"93",93,93,"N",700,0,0,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,4,114,120,117,NA,1,99,17,"EO",NA,0.883102037075272,"EO","Ineligible","Not Hispanic","en","EO"
"94",94,94,"N",700,0,0,NA,NA,NA,-1.40947219935077,"en",0.3,0.3,4,89,111,94,NA,1,97,17,"EO",NA,-1.14239137978786,"EO","Ineligible","Not Hispanic","en","EO"
"95",95,95,"N",800,0,0,NA,NA,NA,-1.75496210888411,"en",0.275,0.28125,4,60,58,74,NA,1,102,17,"EO",NA,-1.65505092936175,"EO","Ineligible","Not Hispanic","en","EO"
"96",96,96,"N",700,0,0,NA,NA,NA,0.286392864642851,"en",0.725,0.6875,4,121,126,104,NA,1,91,17,"EO",NA,0.754077252254427,"EO","Ineligible","Not Hispanic","en","EO"
"97",97,97,"N",700,2,0,NA,NA,NA,-1.75496210888411,"en",0.275,0.28125,4,119,116,90,NA,1,101,17,"EO",NA,-1.62161700135364,"EO","Eligible","Not Hispanic","en","EO"
"98",98,98,"N",700,0,0,NA,NA,NA,0.899996660233512,"en",0.875,0.84375,4,115,121,111,NA,1,89,17,"EO",NA,1.43454890386131,"EO","Ineligible","Not Hispanic","en","EO"
"99",99,99,"N",700,0,0,NA,NA,NA,0.225973831038495,"en",0.625,0.65625,4,107,107,99,NA,1,91,17,"EO",NA,0.693658218650071,"EO","Ineligible","Not Hispanic","en","EO"
"100",100,100,"N",800,0,0,NA,NA,NA,-0.0397440157169303,"en",0.6,0.59375,4,85,86,81,NA,1,102,17,"EO",NA,0.0601671638054336,"EO","Ineligible","Not Hispanic","en","EO"
"101",101,101,"N",700,0,0,NA,NA,NA,-1.12948997734867,"en",0.475,0.475,4,88,108,95,NA,1,92,17,"EO",NA,-0.695239517745204,"EO","Ineligible","Not Hispanic","en","EO"
"102",102,102,"N",700,0,0,NA,NA,NA,0.054531657040154,"en",0.675,0.625,4,109,99,99,NA,1,101,17,"EO",NA,0.187876764570628,"EO","Ineligible","Not Hispanic","en","EO"
"103",103,103,"N",700,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,4,99,100,86,NA,1,97,17,"EO",NA,0.574092833748041,"EO","Ineligible","Not Hispanic","en","EO"
"104",104,104,"N",700,0,0,NA,NA,NA,-1.96210616596529,"en",0.25,0.28125,4,125,121,105,NA,1,94,17,"EO",NA,-1.59472356237804,"EO","Ineligible","Not Hispanic","en","EO"
"105",105,105,"N",700,0,0,NA,NA,NA,-0.449949119415816,"en",0.5,0.5,4,82,98,76,NA,1,97,17,"EO",NA,-0.182868299852901,"EO","Ineligible","Not Hispanic","en","EO"
"106",106,106,"N",700,0,0,NA,NA,NA,-0.314390226666618,"es",0.475,0.53125,4,93,106,86,NA,1,97,17,"EO",NA,-0.0473094071037031,"EO","Ineligible","Not Hispanic","es","EO"
"107",107,107,"N",700,0,0,NA,NA,NA,-1.51314026587959,"en",0.325,0.375,4,94,106,92,NA,1,97,17,"EO",NA,-1.24605944631668,"EO","Ineligible","Not Hispanic","en","EO"
"108",108,108,"N",800,0,0,NA,NA,NA,-0.920293131083552,"en",0.425,0.40625,4,100,114,96,NA,1,100,17,"EO",NA,-0.753514095544968,"EO","Ineligible","Not Hispanic","en","EO"
"109",109,109,"N",800,0,0,NA,NA,NA,0.0843889639059041,"es",0.625,0.625,4,126,113,93,NA,1,98,17,"EO",NA,0.318035855460709,"EO","Ineligible","Not Hispanic","es","EO"
"110",110,110,"N",700,0,0,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,4,99,114,99,NA,1,91,17,"EO",NA,-0.00116968092134397,"EO","Ineligible","Not Hispanic","en","EO"
"111",111,111,"N",700,0,0,NA,NA,NA,0.225973831038495,"en",0.625,0.65625,4,71,87,80,NA,1,96,17,"EO",NA,0.52648857860952,"EO","Ineligible","Not Hispanic","en","EO"
"112",112,112,"N",700,0,0,NA,NA,NA,0.526130294968352,"en",0.775,0.75,4,NA,NA,NA,NA,1,98,17,"EO",NA,0.759777186523157,"EO","Ineligible","Not Hispanic","en","EO"
"113",113,113,"N",700,0,0,NA,NA,NA,-0.301858799449767,"en",0.525,0.53125,4,132,132,121,NA,1,95,17,"EO",NA,0.0320898761293682,"EO","Ineligible","Not Hispanic","en","EO"
"114",114,114,"N",700,0,0,NA,NA,NA,-0.298471611937142,"en",0.575,0.53125,4,124,117,115,NA,1,88,17,"EO",NA,0.269514559698765,"EO","Ineligible","Not Hispanic","en","EO"
"115",115,115,"N",700,1,0,NA,NA,NA,-1.00311284118227,"en",0.4,0.40625,4,99,107,104,NA,1,93,17,"EO",NA,-0.602296309586914,"EO","Eligible","Not Hispanic","en","EO"
"116",116,116,"N",700,0,0,NA,NA,NA,-0.604818207694438,"en",0.475,0.46875,4,103,118,100,NA,1,92,17,"EO",NA,-0.170567748090972,"EO","Ineligible","Not Hispanic","en","EO"
"117",117,117,"N",700,0,0,NA,NA,NA,-1.75496210888411,"es",0.275,0.28125,4,115,124,100,NA,1,94,17,"EO",NA,-1.38757950529686,"EO","Ineligible","Not Hispanic","es","EO"
"118",118,118,"Y",700,3,1,NA,1,1,-0.604818207694438,"en",0.475,0.46875,5,82,79,77,NA,1,91,21,"EL",150,-0.137133820082862,"EL","Eligible","Hispanic","en","ES"
"119",119,119,"N",600,3,0,NA,0,3,-1.21043296874106,"en",0.375,0.34375,5,70,70,70,NA,1,89,21,"EO",NA,-0.675880725113263,"EO","Eligible","Not Hispanic","en","EO"
"120",120,120,"Y",700,3,1,NA,1,3,0.789058908905942,"en",0.825,0.8125,5,90,91,84,NA,1,102,21,"EL",431,0.888970088428306,"EL","Eligible","Hispanic","en","ES"
"121",121,121,"Y",700,3,1,NA,0,3,-0.994446772977224,"en",0.425,0.375,5,119,124,117,NA,1,91,21,"EL",462,-0.526762385365648,"EL","Eligible","Hispanic","en","ES"
"122",122,122,"Y",700,3,0,NA,1,1,-1.37571209017136,"en",0.1,0.166666666666667,5,48,59,66,NA,0,97,21,"EO",NA,-1.10863127060845,"EO","Eligible","Hispanic","en","EO"
"123",123,123,"N",600,3,0,NA,0,3,-0.449949119415816,"en",0.5,0.5,5,98,108,92,NA,1,95,21,"EO",NA,-0.116000443836681,"EO","Eligible","Not Hispanic","en","EO"
"124",124,124,"Y",700,0,0,NA,0,3,0.552355284071622,"en",0.75,0.75,5,126,96,116,NA,1,93,21,"EO",NA,0.953171815666978,"EO","Ineligible","Hispanic","en","EO"
"125",125,125,"Y",700,3,1,NA,1,3,0.0690998170896675,"en",0.65,0.625,5,113,116,107,NA,1,92,21,"EL",302,0.503350276693133,"EL","Eligible","Hispanic","en","ES"
"126",126,126,"Y",700,3,0,NA,0,3,-0.167359788569284,"en",0.575,0.5625,5,126,117,122,NA,1,99,21,"EO",NA,0.0328531749774105,"EO","Eligible","Hispanic","en","EO"
"127",127,127,"Y",700,3,1,NA,1,1,0.57958049384339,"en",0.725,0.75,5,93,97,91,NA,1,100,21,"EL",150,0.746359529381974,"EL","Eligible","Hispanic","en","ES"
"128",128,128,"Y",700,3,1,NA,0,3,0.170196042973608,"en",0.7,0.65625,5,131,118,129,NA,1,101,21,"EL",460,0.303541150504082,"EL","Eligible","Hispanic","en","ES"
"129",129,129,"Y",700,3,0,NA,0,3,1.10189075364912,"en",0.875,0.875,5,103,99,89,NA,1,97,21,"EO",NA,1.36897157321203,"EO","Eligible","Hispanic","en","EO"
"130",130,130,"Y",700,3,0,NA,0,3,-0.301858799449767,"en",0.525,0.53125,5,103,118,110,NA,1,98,21,"EO",NA,-0.0682119078949623,"EO","Eligible","Hispanic","en","EO"
"131",131,131,"N",600,3,0,NA,0,3,-2.39965537428157,"en",0.175,0.175,5,82,95,85,NA,1,95,21,"EO",NA,-2.06570669870243,"EO","Eligible","Not Hispanic","en","EO"
"132",132,132,"Y",700,0,0,NA,0,3,0.0843889639059041,"en",0.625,0.625,5,74,93,79,NA,1,95,21,"EO",NA,0.418337639485039,"EO","Ineligible","Hispanic","en","EO"
"133",133,133,"N",600,3,0,NA,0,3,-0.911449747975776,"en",0.4,0.4375,5,NA,NA,NA,NA,1,99,21,"EO",NA,-0.711236784429082,"EO","Eligible","Not Hispanic","en","EO"
"134",134,134,"Y",700,3,0,NA,1,2,-1.96210616596529,"en",0.25,0.28125,5,77,70,77,NA,1,91,21,"EO",NA,-1.49442177835371,"EO","Eligible","Hispanic","en","EO"
"135",135,135,"Y",700,3,1,NA,1,3,-1.84181089535771,"en",0.275,0.3125,5,121,122,114,NA,1,96,21,"EL",300,-1.54129614778668,"EL","Eligible","Hispanic","en","ES"
