"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","pseAbility","langinst","wPercentCxPSE","rawPercentCxPSE","clean_school_id","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","pseAbilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT"
"1",1,1,"Y",999,55,1,NA,1,2,-0.0397440157169303,"es",0.6,0.59375,3,81,NA,NA,98,1,99,6,"EL",334,0.160468947829814,"EL","NotReported","Hispanic","es","ES"
"2",2,2,"Y",999,55,1,NA,1,1,-1.05154750063993,"es",0.425,0.34375,3,62,NA,NA,91,1,95,6,"EL",158,-0.717598825060792,"EL","NotReported","Hispanic","es","ES"
"3",3,3,"Y",999,55,1,NA,NA,NA,-1.12109216972074,"es",0.4,0.34375,3,84,NA,NA,108,1,92,6,"EL",209,-0.686841710117274,"EL","NotReported","Hispanic","es","ES"
"4",4,4,"Y",999,55,1,NA,NA,NA,0.706159238883065,"en",0.75,0.75,11,85,NA,NA,93,1,101,41,"EL",409,0.839504346413539,"EL","NotReported","Hispanic","en","ES"
"5",5,5,"Y",999,55,1,NA,NA,NA,0.345323715522172,"es",0.725,0.725,3,74,NA,NA,112,1,97,6,"EL",151,0.612404535085087,"EL","NotReported","Hispanic","es","ES"
"6",6,6,"Y",999,55,1,NA,1,1,-1.32810767070559,"es",0.35,0.34375,3,71,NA,NA,109,1,89,6,"EL",155,-0.793555427077794,"EL","NotReported","Hispanic","es","ES"
"7",7,7,"Y",300,55,1,NA,NA,NA,-0.642875193318885,"es",0.45,0.46875,3,73,NA,NA,102,1,96,6,"EL",150,-0.34236044574786,"EL","NotReported","Hispanic","es","ES"
"8",8,8,"Y",999,55,1,NA,NA,NA,0.427839160699871,"es",0.725,0.71875,3,82,94,77,NA,1,95,6,"EL",334,0.761787836279006,"EL","NotReported","Hispanic","es","ES"
"9",9,9,"Y",700,55,1,NA,1,1,-2.21670801877204,"es",0.175,0.1875,3,75,NA,NA,72,1,89,6,"EL",150,-1.68215577514424,"EL","NotReported","Hispanic","es","ES"
"10",10,10,"Y",999,55,1,NA,NA,NA,-0.173291699184974,"es",0.6,0.5625,3,93,NA,NA,119,1,89,6,"EL",343,0.361260544442822,"EL","NotReported","Hispanic","es","ES"
"11",11,11,"Y",999,55,1,NA,NA,NA,-1.81064285855506,"es",0.325,0.325,3,88,NA,NA,114,1,89,6,"EL",399,-1.27609061492726,"EL","NotReported","Hispanic","es","ES"
"12",12,12,"Y",999,55,1,NA,1,1,-2.36129017442156,"en",0.175,0.21875,3,76,NA,NA,99,1,94,6,"EL",150,-1.99390757083432,"EL","NotReported","Hispanic","en","ES"
"13",13,13,"Y",999,55,1,NA,NA,NA,0.187970476525537,"es",0.675,0.65625,3,77,NA,NA,83,1,97,6,"EL",441,0.455051296088452,"EL","NotReported","Hispanic","es","ES"
"14",14,14,"Y",999,55,1,NA,1,3,-0.173291699184974,"es",0.6,0.5625,3,81,NA,NA,122,1,99,6,"EL",279,0.0269212643617205,"EL","NotReported","Hispanic","es","ES"
"15",15,15,"Y",999,55,1,NA,1,3,-0.436473651517824,"es",0.525,0.5,3,74,99,63,NA,1,99,6,"EL",361,-0.23626068797113,"EL","NotReported","Hispanic","es","ES"
"16",16,16,"Y",999,55,1,NA,1,1,-1.84181089535771,"es",0.275,0.3125,3,76,NA,NA,98,1,96,6,"EL",254,-1.54129614778668,"EL","NotReported","Hispanic","es","ES"
