"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"22",22,22,"Y",999,55,1,NA,NA,NA,2.28560328065893,"en",82,94,77,NA,1,95,6,"EL",334,1.45253168662776,"EL","NotReported","Hispanic","en","ES",NA
"23",23,23,"Y",999,55,1,NA,NA,NA,0.730109386511836,"en",93,NA,NA,119,1,89,6,"EL",343,0.162892081909691,"EL","NotReported","Hispanic","en","ES",NA
"24",24,24,"Y",999,55,1,NA,NA,NA,-0.104547424333588,"en",88,NA,NA,114,1,89,6,"EL",399,-0.671764728935733,"EL","NotReported","Hispanic","en","ES",NA
"25",25,25,"Y",999,55,1,NA,1,1,-2.40757026288184,"en",76,NA,NA,99,1,94,6,"EL",150,-3.19633280867484,"EL","NotReported","Hispanic","en","ES",NA
"26",26,26,"Y",999,55,1,NA,NA,NA,-0.60320621803981,"en",77,NA,NA,83,1,97,6,"EL",441,-1.52489590854732,"EL","NotReported","Hispanic","en","ES",NA
"27",27,27,"Y",999,55,1,NA,1,3,1.58148452345037,"en",81,NA,NA,122,1,99,6,"EL",279,0.571176736466518,"EL","NotReported","Hispanic","en","ES",NA
"28",28,28,"Y",999,55,1,NA,1,3,1.04782063335006,"en",74,99,63,NA,1,99,6,"EL",361,0.0375128463662082,"EL","NotReported","Hispanic","en","ES",NA
"29",29,29,"Y",999,55,1,NA,1,1,1.83300923979033,"en",76,NA,NA,98,1,96,6,"EL",254,0.95562859752099,"EL","NotReported","Hispanic","en","ES",NA
"30",30,30,"Y",999,55,1,NA,1,3,0.636633156816969,"en",116,NA,NA,119,1,91,6,"EL",225,-0.0192022442615177,"EL","NotReported","Hispanic","en","ES",NA
"31",31,31,"Y",999,55,1,NA,1,1,0.784269767843744,"en",77,NA,NA,89,1,89,6,"EL",155,0.217052463241599,"EL","NotReported","Hispanic","en","ES",NA
"32",32,32,"Y",999,55,1,NA,NA,NA,0.736063040599447,"en",80,NA,NA,91,1,90,6,"EL",151,0.124536687759131,"EL","NotReported","Hispanic","en","ES",NA
"33",33,33,"Y",999,55,1,NA,NA,NA,1.57098984105851,"en",100,NA,NA,100,1,99,6,"EL",373,0.560682054074658,"EL","NotReported","Hispanic","en","ES",NA
"34",34,34,"Y",700,55,1,NA,NA,NA,1.33877026127254,"en",79,71,77,NA,1,93,6,"EL",306,0.594316763717712,"EL","NotReported","Hispanic","en","ES",NA
