"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","LetAbility","langinst","wPercentCx","rawPercentCx","clean_school_id","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","LetAbilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT"
"1",1,1,"Y",999,55,1,NA,1,2,0.857247458552491,"es",0.775,0.8125,3,81,NA,NA,98,1,99,6,"EL",334,0.666059096963018,"EL","NotReported","Hispanic","es","ES"
"2",2,2,"Y",999,55,1,NA,1,1,0.0843889639059041,"es",0.625,0.625,3,62,NA,NA,91,1,95,6,"EL",158,0.0822908103303688,"EL","NotReported","Hispanic","es","ES"
"3",3,3,"Y",999,55,1,NA,NA,NA,-0.642875193318885,"es",0.45,0.46875,3,84,NA,NA,108,1,92,6,"EL",209,-0.503155690883601,"EL","NotReported","Hispanic","es","ES"
"4",4,4,"Y",999,55,1,NA,NA,NA,0.418352993056442,"en",0.55,0.678571428571429,11,85,NA,NA,93,1,101,41,"EL",409,0.132619527459156,"EL","NotReported","Hispanic","en","ES"
"5",5,5,"Y",999,55,1,NA,1,3,-1.32810767070559,"en",0.35,0.34375,3,64,67,67,NA,1,90,6,"EL",382,-1.09384306426307,"EL","NotReported","Hispanic","en","ES"
"6",6,6,"Y",300,55,1,NA,NA,NA,0.552355284071622,"es",0.75,0.75,3,73,NA,NA,102,1,96,6,"EL",150,0.50298457849243,"EL","NotReported","Hispanic","es","ES"
"7",7,7,"Y",999,55,1,NA,NA,NA,0.682889073528577,"es",0.775,0.78125,3,82,94,77,NA,1,95,6,"EL",334,0.680790919953004,"EL","NotReported","Hispanic","es","ES"
"8",8,8,"Y",700,55,1,NA,1,1,-0.0509669850588511,"es",0.625,0.59375,3,75,NA,NA,72,1,89,6,"EL",150,0.23057017338729,"EL","NotReported","Hispanic","es","ES"
"9",9,9,"Y",999,55,1,NA,NA,NA,-1.4855057607404,"es",0.325,0.34375,3,93,NA,NA,119,1,89,6,"EL",343,-1.20396860229426,"EL","NotReported","Hispanic","es","ES"
"10",10,10,"Y",999,55,1,NA,1,1,-1.44048094979084,"en",0.325,0.25,3,76,NA,NA,99,1,94,6,"EL",150,-1.39530655136279,"EL","NotReported","Hispanic","en","ES"
"11",11,11,"Y",999,55,1,NA,NA,NA,0.682889073528577,"es",0.775,0.78125,3,77,NA,NA,83,1,97,6,"EL",441,0.586245815945766,"EL","NotReported","Hispanic","es","ES"
