"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","LetAbility","langinst","wPercentCx","rawPercentCx","clean_school_id","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","LetAbilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT"
"12",12,12,"Y",999,55,1,NA,1,3,0.0843889639059041,"es",0.625,0.625,3,81,NA,NA,122,1,99,6,"EL",279,-0.106799397684144,"EL","NotReported","Hispanic","es","ES"
"13",13,13,"Y",999,55,1,NA,1,3,0.500865098003236,"es",0.8,0.75,3,74,99,63,NA,1,99,6,"EL",361,0.309676736413188,"EL","NotReported","Hispanic","es","ES"
"14",14,14,"Y",999,55,1,NA,1,1,-1.75496210888411,"es",0.275,0.28125,3,76,NA,NA,98,1,96,6,"EL",254,-1.8043328144633,"EL","NotReported","Hispanic","es","ES"
"15",15,15,"Y",999,55,1,NA,1,3,1.52372648069845,"es",0.925,0.9375,3,116,NA,NA,119,1,91,6,"EL",225,1.71071853513735,"EL","NotReported","Hispanic","es","ES"
"16",16,16,"Y",999,55,1,NA,1,1,1.05886917649267,"es",0.9,0.875,3,77,NA,NA,89,1,89,6,"EL",155,1.34040633493881,"EL","NotReported","Hispanic","es","ES"
"17",17,17,"Y",999,55,1,NA,NA,NA,0.246267995931139,"es",0.6,0.65625,3,80,NA,NA,91,1,90,6,"EL",151,0.480532602373661,"EL","NotReported","Hispanic","es","ES"
"18",18,18,"Y",999,55,1,NA,NA,NA,0.225973831038495,"es",0.625,0.65625,3,100,NA,NA,100,1,99,6,"EL",373,0.0347854694484468,"EL","NotReported","Hispanic","es","ES"
"19",19,19,"Y",700,55,1,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,3,79,71,77,NA,1,93,6,"EL",306,-0.0690484353996169,"EL","NotReported","Hispanic","en","ES"
"20",20,20,"Y",999,55,1,NA,NA,NA,0.187970476525537,"es",0.675,0.65625,3,99,NA,NA,114,1,94,6,"EL",230,0.233144874953583,"EL","NotReported","Hispanic","es","ES"
"21",21,21,"Y",999,55,1,NA,NA,NA,1.19496962118332,"es",0.825,0.875,3,77,90,83,NA,1,89,6,"EL",313,1.47650677962946,"EL","NotReported","Hispanic","es","ES"
"22",22,22,"Y",999,55,1,NA,1,3,1.05886917649267,"es",0.9,0.875,3,107,NA,NA,106,1,97,6,"EL",284,0.96222591890986,"EL","NotReported","Hispanic","es","ES"
"23",23,23,"Y",999,55,1,NA,1,1,0.307012014185126,"es",0.7,0.6875,3,99,NA,NA,119,1,94,6,"EL",213,0.352186412613172,"EL","NotReported","Hispanic","es","ES"
"24",24,24,"Y",999,55,1,NA,NA,NA,0.328485693608654,"es",0.675,0.6875,3,88,89,78,NA,1,98,6,"EL",NA,0.184569884022225,"EL","NotReported","Hispanic","es","ES"
"25",25,25,"Y",999,55,1,NA,1,3,0.552355284071622,"en",0.75,0.75,3,93,103,83,NA,1,100,6,"EL",368,0.313894370477955,"EL","NotReported","Hispanic","en","ES"
"26",26,26,"Y",999,55,1,NA,NA,NA,0.936751538683891,"en",0.85,0.84375,3,97,108,100,NA,1,88,6,"EL",371,1.26556124913365,"EL","NotReported","Hispanic","en","ES"
"27",27,27,"Y",999,55,0,NA,NA,NA,1.29286229049482,"en",0.9,0.90625,3,113,115,108,NA,1,95,6,"EO",NA,1.29076413691925,"EO","NotReported","Hispanic","en","EO"
"28",28,28,"Y",999,55,0,NA,NA,NA,-2.21670801877204,"en",0.175,0.1875,3,109,94,93,NA,1,89,6,"EO",NA,-1.9351708603259,"EO","NotReported","Hispanic","en","EO"
"29",29,29,"Y",700,55,1,NA,NA,NA,-1.37571209017136,"en",0.1,0.166666666666667,3,78,100,94,NA,1,88,6,"EL",151,-1.0469023797216,"EL","NotReported","Hispanic","en","ES"
"30",30,30,"Y",999,55,0,NA,NA,NA,0.936751538683891,"en",0.85,0.84375,3,115,101,92,NA,1,90,6,"EO",NA,1.17101614512641,"EO","NotReported","Hispanic","en","EO"
"31",31,31,"Y",999,55,0,NA,NA,NA,0.0843889639059041,"en",0.625,0.625,3,95,104,90,NA,1,96,6,"EO",NA,0.0350182583267125,"EO","NotReported","Hispanic","en","EO"
"32",32,32,"Y",999,55,1,NA,NA,NA,0.789058908905942,"en",0.825,0.8125,3,79,94,77,NA,1,96,6,"EL",283,0.73968820332675,"EL","NotReported","Hispanic","en","ES"
"33",33,33,"Y",999,55,0,NA,NA,NA,-1.94988569124135,"en",0.225,0.21875,3,108,112,102,NA,1,88,6,"EO",NA,-1.62107598079159,"EO","NotReported","Hispanic","en","EO"
"34",34,34,"N",700,55,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,3,105,108,99,NA,1,95,6,"EO",NA,0.425741007124298,"EO","NotReported","Not Hispanic","en","EO"
"35",35,35,"Y",999,55,0,NA,NA,NA,0.552355284071622,"en",0.75,0.75,3,114,110,94,NA,1,95,6,"EO",NA,0.550257130496049,"EO","NotReported","Hispanic","en","EO"
"36",36,36,"Y",999,55,0,NA,NA,NA,1.10189075364912,"en",0.875,0.875,3,128,128,101,NA,1,97,6,"EO",NA,1.00524749606631,"EO","NotReported","Hispanic","en","EO"
"37",37,37,"Y",999,55,0,NA,NA,NA,-1.4655143363769,"en",0.325,0.3125,3,87,95,88,NA,1,93,6,"EO",NA,-1.37306738594523,"EO","NotReported","Hispanic","en","EO"
"38",38,38,"Y",999,55,0,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,3,83,100,88,NA,1,95,6,"EO",NA,-0.163593539406855,"EO","NotReported","Hispanic","en","EO"
"39",39,39,"Y",999,55,0,NA,NA,NA,-0.920293131083552,"en",0.425,0.40625,3,86,102,83,NA,1,89,6,"EO",NA,-0.638755972637411,"EO","NotReported","Hispanic","en","EO"
"40",40,40,"Y",999,55,0,NA,NA,NA,0.0843889639059041,"en",0.625,0.625,3,107,94,70,NA,1,96,6,"EO",NA,0.0350182583267125,"EO","NotReported","Hispanic","en","EO"
"41",41,41,"Y",999,55,1,NA,NA,NA,-0.449949119415816,"en",0.5,0.5,3,78,92,74,NA,1,96,6,"EL",311,-0.499319824995007,"EL","NotReported","Hispanic","en","ES"
"42",42,42,"Y",999,55,0,NA,NA,NA,-1.37571209017136,"en",0.1,0.166666666666667,3,103,106,98,NA,1,90,6,"EO",NA,-1.14144748372884,"EO","NotReported","Hispanic","en","EO"
"43",43,43,"Y",999,55,0,NA,NA,NA,1.10189075364912,"en",0.875,0.875,3,94,109,81,NA,1,96,6,"EO",NA,1.05252004806993,"EO","NotReported","Hispanic","en","EO"
"44",44,44,"Y",999,55,1,NA,NA,NA,-1.37571209017136,"en",0.1,0.166666666666667,3,98,115,102,NA,1,93,6,"EL",311,-1.28326513973969,"EL","NotReported","Hispanic","en","ES"
"45",45,45,"Y",999,55,0,NA,NA,NA,0.404481589687733,"en",0.75,0.71875,3,117,127,98,NA,1,98,6,"EO",NA,0.260565780101304,"EO","NotReported","Hispanic","en","EO"
"46",46,46,"Y",999,55,0,NA,NA,NA,0.936751538683891,"en",0.85,0.84375,3,77,92,85,NA,1,98,6,"EO",NA,0.792835729097462,"EO","NotReported","Hispanic","en","EO"
"47",47,47,"Y",999,55,0,NA,NA,NA,0.286392864642851,"en",0.725,0.6875,3,127,117,121,NA,1,88,6,"EO",NA,0.615202575092611,"EO","NotReported","Hispanic","en","EO"
"48",48,48,"Y",700,55,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,3,108,103,95,NA,1,91,6,"EO",NA,0.614831215138774,"EO","NotReported","Hispanic","en","EO"
"49",49,49,"Y",999,55,0,NA,NA,NA,-1.4855057607404,"en",0.325,0.34375,3,76,90,69,NA,1,97,6,"EO",NA,-1.58214901832321,"EO","NotReported","Hispanic","en","EO"
"50",50,50,"Y",700,55,0,NA,NA,NA,-1.60803579820618,"en",0.35,0.35,3,92,111,85,NA,1,90,6,"EO",NA,-1.37377119176366,"EO","NotReported","Hispanic","en","EO"
"51",51,51,"N",700,55,0,NA,NA,NA,0.170196042973608,"en",0.7,0.65625,3,NA,NA,NA,NA,1,93,6,"EO",NA,0.262642993405273,"EO","NotReported","Not Hispanic","en","EO"
"52",52,52,"N",700,0,0,NA,NA,NA,1.29286229049482,"en",0.9,0.90625,4,102,100,80,NA,2,112,17,"EO",NA,0.487130752857726,"EO","Ineligible","Not Hispanic","en","EO"
"53",53,53,"N",700,0,0,NA,NA,NA,1.52372648069845,"en",0.925,0.9375,4,111,110,104,NA,2,104,17,"EO",NA,1.09617535909031,"EO","Ineligible","Not Hispanic","en","EO"
"54",54,54,"N",700,0,0,NA,NA,NA,0.936751538683891,"en",0.85,0.84375,4,114,108,104,NA,2,105,17,"EO",NA,0.46192786507213,"EO","Ineligible","Not Hispanic","en","EO"
"55",55,55,"N",800,0,0,NA,NA,NA,0.170196042973608,"en",0.7,0.65625,4,129,131,111,NA,2,109,17,"EO",NA,-0.493717838652629,"EO","Ineligible","Not Hispanic","en","EO"
"56",56,56,"N",700,0,0,NA,NA,NA,-0.449949119415816,"en",0.5,0.5,4,120,130,108,NA,2,111,17,"EO",NA,-1.20840810504929,"EO","Ineligible","Not Hispanic","en","EO"
"57",57,57,"N",700,0,0,NA,NA,NA,-2.14512030407946,"en",0.2,0.21875,4,81,93,71,NA,2,116,17,"EO",NA,-3.13994204973103,"EO","Ineligible","Not Hispanic","en","EO"
"58",58,58,"N",700,0,0,NA,NA,NA,0.526130294968352,"en",0.775,0.75,4,101,103,80,NA,2,108,17,"EO",NA,-0.0905110346542664,"EO","Ineligible","Not Hispanic","en","EO"
"59",59,59,"N",700,0,0,NA,NA,NA,0.625049043443043,"en",0.825,0.78125,4,124,116,114,NA,2,111,17,"EO",NA,-0.133409942190432,"EO","Ineligible","Not Hispanic","en","EO"
"60",60,60,"Y",700,0,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,4,107,103,98,NA,2,103,17,"EO",NA,-0.536211793145145,"EO","Ineligible","Hispanic","en","EO"
"61",61,61,"N",700,0,0,NA,NA,NA,0.526130294968352,"en",0.775,0.75,4,113,122,105,NA,2,113,17,"EO",NA,-0.326873794672361,"EO","Ineligible","Not Hispanic","en","EO"
"62",62,62,"N",700,0,0,NA,NA,NA,1.73227750406917,"en",0.975,0.96875,4,114,110,98,NA,2,107,17,"EO",NA,1.16290872645017,"EO","Ineligible","Not Hispanic","en","EO"
"63",63,63,"N",700,0,0,NA,NA,NA,-0.911449747975776,"en",0.4,0.4375,4,120,106,96,NA,2,104,17,"EO",NA,-1.33900086958392,"EO","Ineligible","Not Hispanic","en","EO"
"64",64,64,"N",700,0,0,NA,NA,NA,1.24093420144233,"en",0.925,0.90625,4,113,111,99,NA,2,115,17,"EO",NA,0.293385007794379,"EO","Ineligible","Not Hispanic","en","EO"
"65",65,65,"N",700,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,4,117,119,116,NA,2,107,17,"EO",NA,-0.381398301093463,"EO","Ineligible","Not Hispanic","en","EO"
"66",66,66,"N",700,0,0,NA,NA,NA,0.857247458552491,"en",0.775,0.8125,4,126,125,119,NA,2,114,17,"EO",NA,-0.0430291830918409,"EO","Ineligible","Not Hispanic","en","EO"
"67",67,67,"N",700,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,4,123,122,113,NA,2,104,17,"EO",NA,-0.120539107423017,"EO","Ineligible","Not Hispanic","en","EO"
"68",68,68,"N",700,0,0,NA,NA,NA,0.713510982530772,"en",0.75,0.78125,4,103,122,96,NA,2,107,17,"EO",NA,0.144142204911772,"EO","Ineligible","Not Hispanic","en","EO"
"69",69,69,"N",700,0,0,NA,NA,NA,0.789058908905942,"en",0.825,0.8125,4,103,112,105,NA,2,104,17,"EO",NA,0.361507787297799,"EO","Ineligible","Not Hispanic","en","EO"
"70",70,70,"N",700,0,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,4,109,110,100,NA,2,112,17,"EO",NA,-0.377892376937223,"EO","Ineligible","Not Hispanic","en","EO"
"71",71,71,"N",700,0,0,NA,NA,NA,0.552355284071622,"en",0.75,0.75,4,95,91,85,NA,2,112,17,"EO",NA,-0.253376253565472,"EO","Ineligible","Not Hispanic","en","EO"
"72",72,72,"N",700,0,0,NA,NA,NA,0.822450843643387,"en",0.8,0.8125,4,100,108,73,NA,2,106,17,"EO",NA,0.300354618028006,"EO","Ineligible","Not Hispanic","en","EO"
"73",73,73,"N",700,0,0,NA,NA,NA,0.100430567862464,"en",0.6,0.625,4,135,126,120,NA,2,107,17,"EO",NA,-0.468938209756535,"EO","Ineligible","Not Hispanic","en","EO"
"74",74,74,"N",700,0,0,NA,NA,NA,-0.577207661002333,"en",0.5,0.46875,4,129,117,116,NA,2,110,17,"EO",NA,-1.28839409463219,"EO","Ineligible","Not Hispanic","en","EO"
"75",75,75,"Y",700,0,0,NA,NA,NA,-0.0397440157169303,"en",0.6,0.59375,4,108,102,90,NA,2,114,17,"EO",NA,-0.940020657361262,"EO","Ineligible","Hispanic","en","EO"
"76",76,76,"N",700,0,0,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,4,111,107,93,NA,2,116,17,"EO",NA,-0.542715822184056,"EO","Ineligible","Not Hispanic","en","EO"
"77",77,77,"N",600,0,0,NA,NA,NA,-0.642875193318885,"en",0.45,0.46875,4,77,91,71,NA,2,112,17,"EO",NA,-1.44860673095598,"EO","Ineligible","Not Hispanic","en","EO"
"78",78,78,"N",800,0,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,4,115,109,110,NA,2,104,17,"EO",NA,-0.0990654279994888,"EO","Ineligible","Not Hispanic","en","EO"
"79",79,79,"N",700,0,0,NA,NA,NA,0.404481589687733,"en",0.75,0.71875,4,121,117,100,NA,2,105,17,"EO",NA,-0.0703420839240286,"EO","Ineligible","Not Hispanic","en","EO"
"80",80,80,"N",700,0,0,NA,NA,NA,0.822450843643387,"en",0.8,0.8125,4,113,111,107,NA,2,111,17,"EO",NA,0.063991858009912,"EO","Ineligible","Not Hispanic","en","EO"
"81",81,81,"N",700,0,0,NA,NA,NA,1.29286229049482,"en",0.9,0.90625,4,125,129,105,NA,2,114,17,"EO",NA,0.392585648850488,"EO","Ineligible","Not Hispanic","en","EO"
"82",82,82,"N",700,0,0,NA,NA,NA,0.526130294968352,"en",0.775,0.75,4,121,118,109,NA,2,108,17,"EO",NA,-0.0905110346542664,"EO","Ineligible","Not Hispanic","en","EO"
"83",83,83,"N",800,2,0,NA,NA,NA,-0.685880024673642,"en",0.5,0.4375,4,96,99,86,NA,2,114,17,"EO",NA,-1.58615666631797,"EO","Eligible","Not Hispanic","en","EO"
"84",84,84,"N",700,0,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,4,118,114,94,NA,2,109,17,"EO",NA,-0.457361782744554,"EO","Ineligible","Not Hispanic","en","EO"
"85",85,85,"N",800,0,0,NA,NA,NA,0.789058908905942,"en",0.825,0.8125,4,120,138,106,NA,2,105,17,"EO",NA,0.31423523529418,"EO","Ineligible","Not Hispanic","en","EO"
"86",86,86,"N",700,0,0,NA,NA,NA,0.526130294968352,"en",0.775,0.75,4,119,125,109,NA,2,108,17,"EO",NA,-0.0905110346542664,"EO","Ineligible","Not Hispanic","en","EO"
"87",87,87,"N",700,0,0,NA,NA,NA,0.552355284071622,"en",0.75,0.75,4,105,101,86,NA,2,107,17,"EO",NA,-0.0170134935473776,"EO","Ineligible","Not Hispanic","en","EO"
"88",88,88,"N",700,0,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,4,105,111,91,NA,2,103,17,"EO",NA,-0.0517928759958699,"EO","Ineligible","Not Hispanic","en","EO"
"89",89,89,"N",700,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,4,102,115,100,NA,1,90,17,"EO",NA,0.541276620627648,"EO","Ineligible","Not Hispanic","en","EO"
"90",90,90,"Y",700,0,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,4,101,98,94,NA,1,97,17,"EO",NA,0.331195903117061,"EO","Ineligible","Hispanic","en","EO"
"91",91,91,"N",700,0,0,NA,NA,NA,-1.12122138764408,"en",0.375,0.40625,4,112,111,105,NA,1,94,17,"EO",NA,-1.07604698921603,"EO","Ineligible","Not Hispanic","en","EO"
"92",92,92,"N",800,0,0,NA,NA,NA,1.29286229049482,"en",0.9,0.90625,4,108,102,104,NA,1,93,17,"EO",NA,1.38530924092649,"EO","Ineligible","Not Hispanic","en","EO"
"93",93,93,"N",700,0,0,NA,NA,NA,-0.436473651517824,"en",0.525,0.5,4,NA,NA,NA,NA,1,96,17,"EO",NA,-0.485844357097016,"EO","Ineligible","Not Hispanic","en","EO"
"94",94,94,"N",700,0,0,NA,NA,NA,1.19496962118332,"en",0.825,0.875,4,114,120,117,NA,1,99,17,"EO",NA,1.00378125959327,"EO","Ineligible","Not Hispanic","en","EO"
"95",95,95,"N",700,0,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,4,89,111,94,NA,1,97,17,"EO",NA,0.331195903117061,"EO","Ineligible","Not Hispanic","en","EO"
"96",96,96,"N",800,0,0,NA,NA,NA,-1.00311284118227,"en",0.4,0.40625,4,60,58,74,NA,1,102,17,"EO",NA,-1.33611885878317,"EO","Ineligible","Not Hispanic","en","EO"
"97",97,97,"N",700,0,0,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,4,121,126,104,NA,1,91,17,"EO",NA,0.86988112796748,"EO","Ineligible","Not Hispanic","en","EO"
"98",98,98,"N",700,2,0,NA,NA,NA,0.653420792083748,"en",0.8,0.78125,4,119,116,90,NA,1,101,17,"EO",NA,0.367687326486462,"EO","Eligible","Not Hispanic","en","EO"
"99",99,99,"N",700,0,0,NA,NA,NA,1.73227750406917,"en",0.975,0.96875,4,115,121,111,NA,1,89,17,"EO",NA,2.01381466251531,"EO","Ineligible","Not Hispanic","en","EO"
"100",100,100,"N",700,0,0,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,4,107,107,99,NA,1,91,17,"EO",NA,0.86988112796748,"EO","Ineligible","Not Hispanic","en","EO"
"101",101,101,"N",800,0,0,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,4,85,86,81,NA,1,102,17,"EO",NA,-0.494501403432187,"EO","Ineligible","Not Hispanic","en","EO"
"102",102,102,"N",700,0,0,NA,NA,NA,0.0843889639059041,"en",0.625,0.625,4,109,99,99,NA,1,101,17,"EO",NA,-0.201344501691382,"EO","Ineligible","Not Hispanic","en","EO"
"103",103,103,"N",700,0,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,4,99,100,86,NA,1,97,17,"EO",NA,0.109908841298873,"EO","Ineligible","Not Hispanic","en","EO"
"104",104,104,"N",700,0,0,NA,NA,NA,-0.642875193318885,"en",0.45,0.46875,4,125,121,105,NA,1,94,17,"EO",NA,-0.597700794890839,"EO","Ineligible","Not Hispanic","en","EO"
"105",105,105,"N",700,0,0,NA,NA,NA,-0.0397440157169303,"en",0.6,0.59375,4,82,98,76,NA,1,97,17,"EO",NA,-0.136387273299741,"EO","Ineligible","Not Hispanic","en","EO"
"106",106,106,"N",700,0,0,NA,NA,NA,0.328485693608654,"es",0.675,0.6875,4,93,106,86,NA,1,97,17,"EO",NA,0.231842436025844,"EO","Ineligible","Not Hispanic","es","EO"
"107",107,107,"N",700,0,0,NA,NA,NA,-0.0157782351586747,"en",0.55,0.59375,4,94,106,92,NA,1,97,17,"EO",NA,-0.112421492741485,"EO","Ineligible","Not Hispanic","en","EO"
"108",108,108,"N",800,0,0,NA,NA,NA,-1.31502661538805,"en",0.35,0.375,4,100,114,96,NA,1,100,17,"EO",NA,-1.55348752898172,"EO","Ineligible","Not Hispanic","en","EO"
"109",109,109,"N",800,0,0,NA,NA,NA,1.10189075364912,"es",0.875,0.875,4,126,113,93,NA,1,98,17,"EO",NA,0.957974944062691,"EO","Ineligible","Not Hispanic","es","EO"
"110",110,110,"N",700,0,0,NA,NA,NA,0.653420792083748,"en",0.8,0.78125,4,99,114,99,NA,1,91,17,"EO",NA,0.840412846522651,"EO","Ineligible","Not Hispanic","en","EO"
"111",111,111,"N",700,0,0,NA,NA,NA,-1.72285241996366,"en",0.25,0.1875,4,71,87,80,NA,1,96,17,"EO",NA,-1.77222312554285,"EO","Ineligible","Not Hispanic","en","EO"
"112",112,112,"N",700,0,0,NA,NA,NA,0.822450843643387,"en",0.8,0.8125,4,NA,NA,NA,NA,1,98,17,"EO",NA,0.678535034056958,"EO","Ineligible","Not Hispanic","en","EO"
"113",113,113,"N",700,0,0,NA,NA,NA,0.100430567862464,"en",0.6,0.625,4,132,132,121,NA,1,95,17,"EO",NA,0.0983324142868913,"EO","Ineligible","Not Hispanic","en","EO"
"114",114,114,"N",700,0,0,NA,NA,NA,0.756985308390598,"en",0.85,0.8125,4,124,117,115,NA,1,88,17,"EO",NA,1.08579501884036,"EO","Ineligible","Not Hispanic","en","EO"
"115",115,115,"N",700,1,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,4,99,107,104,NA,1,93,17,"EO",NA,0.280417426957202,"EO","Eligible","Not Hispanic","en","EO"
"116",116,116,"N",700,0,0,NA,NA,NA,-1.63136546707591,"en",0.3,0.3125,4,103,118,100,NA,1,92,17,"EO",NA,-1.49164596464063,"EO","Ineligible","Not Hispanic","en","EO"
"117",117,117,"N",700,0,0,NA,NA,NA,-1.96210616596529,"en",0.25,0.28125,4,114,NA,NA,NA,1,93,17,"EO",NA,-1.86965921553362,"EO","Ineligible","Not Hispanic","en","EO"
"118",118,118,"N",700,0,0,NA,NA,NA,-1.75496210888411,"es",0.275,0.28125,4,115,124,100,NA,1,94,17,"EO",NA,-1.70978771045606,"EO","Ineligible","Not Hispanic","es","EO"
"119",119,119,"Y",700,3,1,NA,1,1,-0.301858799449767,"en",0.525,0.53125,5,82,79,77,NA,1,91,21,"EL",150,-0.114866745010864,"EL","Eligible","Hispanic","en","ES"
"120",120,120,"N",600,3,0,NA,0,3,-2.21670801877204,"en",0.175,0.1875,5,70,70,70,NA,1,89,21,"EO",NA,-1.9351708603259,"EO","Eligible","Not Hispanic","en","EO"
"121",121,121,"Y",700,3,1,NA,1,3,0.975183200982092,"en",0.825,0.84375,5,90,91,84,NA,1,102,21,"EL",431,0.642177183381187,"EL","Eligible","Hispanic","en","ES"
"122",122,122,"Y",700,3,1,NA,0,3,0.975183200982092,"en",0.825,0.84375,5,119,124,117,NA,1,91,21,"EL",462,1.16217525542099,"EL","Eligible","Hispanic","en","ES"
"123",123,123,"N",600,3,0,NA,0,3,0.427839160699871,"en",0.725,0.71875,5,98,108,92,NA,1,95,21,"EO",NA,0.425741007124298,"EO","Eligible","Not Hispanic","en","EO"
"124",124,124,"Y",700,0,0,NA,0,3,1.59438114030989,"en",0.9,0.9375,5,126,96,116,NA,1,93,21,"EO",NA,1.68682809074156,"EO","Ineligible","Hispanic","en","EO"
"125",125,125,"Y",700,3,1,NA,1,3,0.936751538683891,"en",0.85,0.84375,5,113,116,107,NA,1,92,21,"EL",302,1.07647104111918,"EL","Eligible","Hispanic","en","ES"
"126",126,126,"Y",700,3,0,NA,0,3,1.05886917649267,"en",0.9,0.875,5,126,117,122,NA,1,99,21,"EO",NA,0.867680814902622,"EO","Eligible","Hispanic","en","EO"
"127",127,127,"Y",700,3,1,NA,1,1,0.756985308390598,"en",0.85,0.8125,5,93,97,91,NA,1,100,21,"EL",150,0.518524394796931,"EL","Eligible","Hispanic","en","ES"
"128",128,128,"Y",700,3,1,NA,0,3,1.14718094579119,"en",0.85,0.875,5,131,118,129,NA,1,101,21,"EL",460,0.861447480193904,"EL","Eligible","Hispanic","en","ES"
"129",129,129,"Y",700,3,0,NA,0,3,0.822450843643387,"en",0.8,0.8125,5,103,99,89,NA,1,97,21,"EO",NA,0.725807586060577,"EO","Eligible","Hispanic","en","EO"
"130",130,130,"Y",700,3,0,NA,0,3,0.552355284071622,"en",0.75,0.75,5,103,118,110,NA,1,98,21,"EO",NA,0.408439474485193,"EO","Eligible","Hispanic","en","EO"
"131",131,131,"N",600,3,0,NA,0,3,-2.13055318857112,"en",0.25,0.25,5,82,95,85,NA,1,95,21,"EO",NA,-2.13265134214669,"EO","Eligible","Not Hispanic","en","EO"
"132",132,132,"Y",700,0,0,NA,0,3,0.477315454000685,"en",0.675,0.71875,5,74,93,79,NA,1,95,21,"EO",NA,0.475217300425112,"EO","Ineligible","Hispanic","en","EO"
"133",133,133,"N",600,3,0,NA,0,3,0.552355284071622,"en",0.75,0.75,5,NA,NA,NA,NA,1,99,21,"EO",NA,0.361166922481574,"EO","Eligible","Not Hispanic","en","EO"
"134",134,134,"Y",700,3,0,NA,1,2,-1.58573998350476,"en",0.3,0.28125,5,77,70,77,NA,1,91,21,"EO",NA,-1.39874792906586,"EO","Eligible","Hispanic","en","EO"
"135",135,135,"Y",700,3,1,NA,1,3,0.117252020048695,"en",0.575,0.625,5,121,122,114,NA,1,96,21,"EL",300,0.0678813144695035,"EL","Eligible","Hispanic","en","ES"
