"","student_tracking_id","LetAbilitySS","LetAbility","ELStatus.x","proxy_SES.x","pseAbilitySS","pseAbility","ELStatus.y","proxy_SES.y","MPabilitySS","MPability.x","ELStatus","proxy_SES","wcj_lwi","wcj_lwi_ss","wcj_spelling","wcj_spelling_ss","wcj_wa","wcj_wa_ss","wcj_srt","wcj_srt_ss","wcm_lwi","wcm_lwi_ss","age_month","grade","ble_ucat","del_ucat","evo_ucat","rvo_ucat","nre_ucat","wre_ucat","srt_ucat","nwr_ucat","lnc","lco","rao","dgs","lsi_ucat","reading_outcome","cELStatus","cProxySES"
"984",984,0.681832341270795,0.778475598853605,"EL","Eligible",-0.943352149178145,-1.21043296874106,"EL","Eligible",-1.87698886979044,-0.955299179282933,"EL","Eligible",12,54,NA,NA,NA,NA,NA,NA,30,88,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,"EL","Eligible"
"985",985,-0.269934956767784,-0.173291699184974,"EL","Eligible",-0.37579437375597,-0.642875193318885,"EL","Eligible",-1.96265165648929,-1.04096196598178,"EL","Eligible",32,87,NA,NA,NA,NA,NA,NA,21,74,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,"EL","Eligible"
"986",986,-1.10308805014928,-1.3373526565918,"EO","Eligible",-1.35881891856435,-1.85993723418404,"EO","Eligible",NA,NA,NA,NA,12,64,NA,NA,NA,NA,NA,NA,12,65,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"EO","Eligible"
"987",987,-0.996544926552797,-0.994446772977224,"EO","Eligible",-0.116000443836681,-0.449949119415816,"EO","Eligible",NA,NA,NA,NA,14,62,NA,NA,NA,NA,NA,NA,17,69,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"EO","Eligible"
"988",988,0.180045691023688,0.134871292595642,"EO","Eligible",0.674394617772372,0.307012014185126,"EO","Eligible",1.03529752615162,1.82406007194462,"EO","Eligible",11,56,NA,NA,NA,NA,NA,NA,8,47,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"EO","Eligible"
"989",989,-2.09380150082778,-1.94988569124135,"EL","Eligible",-1.86260962599607,-2.09625651755087,"EL","Eligible",NA,NA,NA,NA,12,53,NA,NA,NA,NA,NA,NA,15,62,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,"EL","Eligible"
"990",990,-0.36376093224581,-0.314390226666618,"EL","Eligible",-0.909918221170035,-1.21043296874106,"EL","Eligible",-0.985420875512442,-0.108040233243102,"EL","Eligible",19,70,NA,NA,NA,NA,NA,NA,21,75,96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"EL","Eligible"
"991",991,-2.2663139820972,-2.02785306850353,"EO","Eligible",NA,NA,NA,NA,NA,NA,NA,NA,11,47,NA,NA,NA,NA,NA,NA,11,47,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"EO","Eligible"
"992",992,0.147248038721973,-0.0397440157169303,"EL","Ineligible",0.161395724932601,-0.306288662678975,"EL","Ineligible",1.35453803632954,2.01037343740803,"EL","Ineligible",22,81,NA,NA,NA,NA,NA,NA,24,86,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"EL","Ineligible"
"993",993,0.0510598622832724,0.100430567862464,"EL","Eligible",-1.55942248661301,-1.85993723418404,"EL","Eligible",-3.60833244054817,-2.73095179827883,"EL","Eligible",18,69,NA,NA,NA,NA,NA,NA,19,72,96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"EL","Eligible"
"994",994,0.713331648966061,0.857247458552491,"EL","Eligible",0.500244603599859,0.266597712045054,"EL","Eligible",-2.04199279758595,-1.07599405884027,"EL","Eligible",12,53,NA,NA,NA,NA,NA,NA,10,47,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,"EL","Eligible"
"995",995,-1.31712476896362,-1.31502661538805,"EO","Eligible",-0.479268500482225,-0.81321717606136,"EO","Eligible",0.885775808661981,1.71884740269315,"EO","Eligible",35,93,NA,NA,NA,NA,NA,NA,36,99,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"EO","Eligible"
"996",996,0.0820580214520656,0.225973831038495,"EL","Ineligible",0.334077459417269,0.100430567862464,"EL","Ineligible",0.491320147267349,1.45731888601303,"EL","Ineligible",NA,NA,NA,NA,NA,NA,NA,NA,41,102,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL","Ineligible"
"997",997,-1.98244341232952,-2.21670801877204,"EO","Eligible",-0.419174815463866,-0.920293131083552,"EO","Eligible",-1.25445792260451,-0.642931569764195,"EO","Eligible",46,115,NA,NA,NA,NA,NA,NA,45,119,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,"EO","Eligible"
"998",998,0.284294711067278,0.286392864642851,"EO","Eligible",0.786054599046648,0.452105923467513,"EO","Eligible",1.12085286838954,1.95392446242071,"EO","Eligible",14,62,NA,NA,NA,NA,NA,NA,15,66,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"EO","Eligible"
"999",999,-0.437940370714416,-1.00311284118227,"EO","Eligible",-1.409964492403,-2.14512030407946,"EO","Eligible",0.362046274466201,0.663409289639323,"EO","Eligible",18,89,9,88,8,98,NA,NA,NA,NA,83,0,-0.3832,-1.0643,NA,NA,NA,NA,-2.8199,0.0734,47,NA,37,5,NA,89,"EO","Eligible"
"1000",1000,0.966059802538263,0.117252020048695,"EO","Eligible",0.358551718722786,-0.577207661002333,"EO","Eligible",NA,NA,NA,NA,12,86,9,97,4,80,NA,NA,NA,NA,77,0,-1.3621,-0.576,NA,NA,NA,NA,-0.6209,-0.421,31,NA,32,7,NA,86,"EO","Eligible"
"1001",1001,-1.05840200369809,-1.85993723418404,"EO","Eligible",NA,NA,NA,NA,NA,NA,NA,NA,11,82,8,92,6,93,NA,NA,NA,NA,78,0,-0.3832,-1.159,NA,NA,NA,NA,-0.0566,0.5462,17,NA,32,9,NA,82,"EO","Eligible"
"1002",1002,0.868074178148925,-0.0280061563442619,"EO","Eligible",0.807697921901947,-0.161495385831282,"EO","Eligible",-1.59661141976374,-1.60541174225781,"EO","Eligible",14,93,9,99,5,88,NA,NA,NA,NA,76,0,-1.5899,-0.3049,NA,NA,NA,NA,-1.2951,-1.2878,26,NA,28,9,NA,93,"EO","Eligible"
"1003",1003,1.67455593334679,0.778475598853605,"EO","Eligible",1.05358227163913,0.0843889639059041,"EO","Eligible",-1.23516553571593,-1.24396585821,"EO","Eligible",13,90,8,95,5,88,NA,NA,NA,NA,76,0,-3,-0.3049,NA,NA,NA,NA,-0.3177,0.7672,16,NA,25,9,NA,90,"EO","Eligible"
"1004",1004,-1.24749221171257,-1.85993723418404,"EL","Eligible",-0.352502430036172,-1.12109216972074,"EL","Eligible",0.954744791043399,1.21179875797835,"EL","Eligible",8,69,4,70,2,61,NA,NA,NA,NA,82,0,-0.8958,-0.3049,NA,NA,NA,NA,-2.5448,-1.1545,NA,NA,0,7,NA,69,"EL","Eligible"
"1005",1005,-0.905084723710744,-1.37571209017136,"EL","Eligible",-0.707424134511123,-1.37571209017136,"EL","Eligible",NA,NA,NA,NA,9,66,6,74,5,75,NA,NA,NA,NA,85,0,-3,-0.576,NA,NA,NA,NA,-0.9396,-0.5908,22,NA,30,2,NA,66,"EL","Eligible"
"1006",1006,-1.66860614644906,-2.42286882493139,"EL","Ineligible",NA,NA,NA,NA,-0.61650302172243,-0.492376199501991,"EL","Ineligible",21,100,7,87,7,99,NA,NA,NA,NA,79,0,-3,-0.3049,NA,NA,NA,NA,-1.5258,-0.6912,37,NA,34,8,NA,100,"EL","Ineligible"
"1007",1007,-0.532485474721654,-1.00311284118227,"EL","Eligible",-1.29381821030505,-1.96210616596529,"EL","Eligible",NA,NA,NA,NA,39,113,14,102,14,112,NA,NA,NA,NA,85,0,1.9865,-0.3049,NA,NA,NA,NA,-0.0566,0.8507,64,NA,41,11,NA,113,"EL","Eligible"
"1008",1008,-0.163883311176123,-0.823600885651215,"EO","Eligible",-0.493222747701232,-1.29524641539391,"EO","Eligible",NA,NA,NA,NA,11,77,7,84,5,80,NA,NA,NA,NA,81,0,-0.8958,-1.7629,NA,NA,NA,NA,-1.3608,0.4707,24,NA,30,6,NA,77,"EO","Eligible"
"1009",1009,-0.905084723710744,-1.37571209017136,"EO","Eligible",-0.707424134511123,-1.37571209017136,"EO","Eligible",-0.548331001383754,-0.158349889734291,"EO","Eligible",8,63,4,66,1,50,NA,NA,NA,NA,85,0,-3,-3,NA,NA,NA,NA,-1.5732,-0.8121,NA,NA,0,3,NA,63,"EO","Eligible"
"1010",1010,-0.0580684198532815,-0.85960365033923,"EO","Eligible",0.452376332301193,-0.449949119415816,"EO","Eligible",-1.47191293422834,-1.39209516024607,"EO","Eligible",13,87,6,85,5,85,NA,NA,NA,NA,78,0,-3,0.2363,NA,NA,NA,NA,-0.853,0.0734,22,NA,34,7,NA,87,"EO","Eligible"
"1011",1011,0.263313671018087,-0.301858799449767,"EL","Eligible",-0.335544914252062,-1.07070072592852,"EL","Eligible",-0.135001462393993,0.166361552779129,"EL","Eligible",13,79,9,88,4,71,NA,NA,NA,NA,83,0,-3,-0.3049,NA,NA,NA,NA,-0.9684,-0.5776,24,NA,29,8,NA,79,"EL","Eligible"
"1012",1012,-1.28433474242349,-1.75496210888411,"EO","Eligible",-1.19449689287126,-1.8627848485315,"EO","Eligible",NA,NA,NA,NA,14,78,9,85,5,75,NA,NA,NA,NA,85,0,-0.8958,-0.576,NA,NA,NA,NA,-0.82,-0.6062,27,NA,34,7,NA,78,"EO","Eligible"
"1013",1013,-0.503442842262349,-1.21043296874106,"EL","Eligible",0.398983944182964,-0.436473651517824,"EL","Eligible",-1.54541020044518,-1.37697432998657,"EL","Eligible",12,81,8,89,5,82,NA,NA,NA,NA,80,0,-0.3832,-0.576,NA,NA,NA,NA,-3,-1.1545,21,NA,0,6,NA,81,"EL","Eligible"
"1014",1014,-0.166030452601222,-0.920293131083552,"EO","Eligible",0.226016330390013,-0.642875193318885,"EO","Eligible",-0.462646772425463,-0.338519950205024,"EO","Eligible",16,92,10,98,6,92,NA,NA,NA,NA,79,0,-3,-0.3049,NA,NA,NA,NA,-0.0566,0.9669,47,NA,36,8,NA,92,"EO","Eligible"
"1015",1015,-1.17622891189934,-1.55231117435272,"EL","Eligible",NA,NA,NA,NA,NA,NA,NA,NA,19,83,15,102,5,72,NA,NA,NA,NA,87,0,-0.9995,-3,NA,NA,NA,NA,NA,-0.4061,32,NA,NA,6,NA,83,"EL","Eligible"
"1016",1016,1.21241372336294,0.789058908905942,"EO","Eligible",0.467494239082843,-0.167359788569284,"EO","Eligible",NA,NA,NA,NA,15,78,7,77,6,82,NA,NA,NA,NA,86,0,-3,-0.9551,NA,NA,NA,NA,-2.9714,-2.8108,24,NA,29,4,NA,78,"EO","Eligible"
"1017",1017,-0.677635082116708,-1.3373526565918,"EO","Eligible",-0.663490668684222,-1.4655143363769,"EO","Eligible",NA,NA,NA,NA,10,75,9,91,2,63,NA,NA,NA,NA,81,0,-0.8958,-3,NA,NA,NA,NA,-3,-2.0803,30,NA,25,2,NA,75,"EO","Eligible"
"1018",1018,-0.209411849018102,-0.301858799449767,"EO","Eligible",NA,NA,NA,NA,NA,NA,NA,NA,28,87,12,84,8,85,NA,NA,NA,NA,93,1,NA,-0.1566,0.0639,NA,-0.9595,-0.3016,-3,-0.6907,NA,NA,26,5,NA,87,"EO","Eligible"
